Dummy,File
DLTR,"Dollar Tree, Inc.",Services,"Discount, Variety Stores",WIKI/DLTR,stocks/dltr
DLX,Deluxe Corp.,Services,Business Services,WIKI/DLX,stocks/dlx
DMD,"Demand Media, Inc.",Technology,Internet Software & Services,WIKI/DMD,stocks/dmd
DMLP,Dorchester Minerals LP,Financial,Diversified Investments,NA,stocks/dmlp
DMRC,Digimarc Corporation,Technology,Information Technology Services,WIKI/DMRC,stocks/dmrc
DMND,"Diamond Foods, Inc.",Consumer Goods,Processed & Packaged Goods,WIKI/DMND,stocks/dmnd
DNB,Dun & Bradstreet Corp.,Technology,Information & Delivery Services,WIKI/DNB,stocks/dnb
DNDN,Dendreon Corp.,Healthcare,Biotechnology,WIKI/DNDN,stocks/dndn
DNKN,"Dunkin' Brands Group, Inc.",Services,Restaurants,WIKI/DNKN,stocks/dnkn
DNR,Denbury Resources Inc.,Basic Materials,Independent Oil & Gas,WIKI/DNR,stocks/dnr
DO,"Diamond Offshore Drilling, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,WIKI/DO,stocks/do
DNBF,DNB Financial Corp.,Financial,Regional - Mid-Atlantic Banks,NA,stocks/dnbf
DORM,"Dorman Products, Inc.",Consumer Goods,Auto Parts,WIKI/DORM,stocks/dorm
DOV,Dover Corporation,Industrial Goods,Diversified Machinery,WIKI/DOV,stocks/dov
DOW,The Dow Chemical Company,Basic Materials,Chemicals - Major Diversified,WIKI/DOW,stocks/dow
DPS,"Dr Pepper Snapple Group, Inc.",Consumer Goods,Beverages - Soft Drinks,WIKI/DPS,stocks/dps
DPM,DCP Midstream Partners LP,Basic Materials,Oil & Gas Pipelines,NA,stocks/dpm
DPW,Digital Power Corp.,Technology,Diversified Electronics,NA,stocks/dpw
DRAD,Digirad Corporation,Healthcare,Medical Appliances & Equipment,NA,stocks/drad
DRAM,Dataram Corporation,Technology,Data Storage Devices,NA,stocks/dram
DRC,Dresser-Rand Group Inc.,Industrial Goods,Diversified Machinery,WIKI/DRC,stocks/drc
DRCO,Dynamics Research Corporation,,,NA,stocks/drco
DRE,Duke Realty Corporation,Financial,REIT - Industrial,NA,stocks/dre
DPZ,"Domino's Pizza, Inc.",Services,Restaurants,WIKI/DPZ,stocks/dpz
DRIV,Digital River Inc.,Technology,Internet Software & Services,WIKI/DRIV,stocks/driv
DRH,Diamondrock Hospitality Co.,Financial,REIT - Hotel/Motel,NA,stocks/drh
DRI,"Darden Restaurants, Inc.",Services,Restaurants,WIKI/DRI,stocks/dri
DRL,Doral Financial Corporation,Financial,Money Center Banks,WIKI/DRL,stocks/drl
DRQ,"Dril-Quip, Inc.",Basic Materials,Oil & Gas Equipment & Services,WIKI/DRQ,stocks/drq
DRRX,DURECT Corporation,Healthcare,Drug Manufacturers - Other,NA,stocks/drrx
DRTX,"Durata Therapeutics, Inc.",Healthcare,Biotechnology,WIKI/DRTX,stocks/drtx
DSCI,Derma Sciences Inc.,Healthcare,Medical Instruments & Supplies,WIKI/DSCI,stocks/dsci
DSCO,Discovery Laboratories Inc.,Healthcare,Biotechnology,NA,stocks/dsco
DSPG,DSP Group Inc.,Technology,Semiconductor - Integrated Circuits,WIKI/DSPG,stocks/dspg
DSKX,"DS Healthcare Group, Inc.",Consumer Goods,Personal Products,NA,NA
DSS,"Document Security Systems, Inc.",Services,Business Services,NA,stocks/dss
DSTI,DayStar Technologies Inc.,Technology,Semiconductor - Specialized,NA,stocks/dsti
DSW,DSW Inc.,Services,Apparel Stores,WIKI/DSW,stocks/dsw
DTE,DTE Energy Company,Utilities,Electric Utilities,WIKI/DTE,stocks/dte
DTLK,Datalink Corporation,Technology,Data Storage Devices,WIKI/DTLK,stocks/dtlk
DTSI,DTS Inc.,Technology,Application Software,WIKI/DTSI,stocks/dtsi
DTV,DIRECTV,Services,CATV Systems,WIKI/DTV,stocks/dtv
DUK,Duke Energy Corporation,Utilities,Diversified Utilities,WIKI/DUK,stocks/duk
DVA,DaVita HealthCare Partners Inc.,Healthcare,Specialized Health Services,WIKI/DVA,stocks/dva
DV,DeVry Education Group Inc.,Services,Education & Training Services,WIKI/DV,stocks/dv
DVAX,Dynavax Technologies Corporation,Healthcare,Drug Manufacturers - Other,WIKI/DVAX,stocks/dvax
DVCR,Diversicare Healthcare Services Inc.,Healthcare,Long-Term Care Facilities,NA,NA
DVD,Dover Motorsports Inc.,Services,Sporting Activities,NA,stocks/dvd
DVN,Devon Energy Corporation,Basic Materials,Independent Oil & Gas,WIKI/DVN,stocks/dvn
DVR,Cal Dive International Inc,Basic Materials,Oil & Gas Equipment & Services,WIKI/DVR,stocks/dvr
DWA,DreamWorks Animation SKG Inc.,Services,"Movie Production, Theaters",WIKI/DWA,stocks/dwa
